latitude,longitude,floorSize,address,url,price
43.390935,-80.479584,"1,790",482 Woodbine Ave,https://www.zillow.com/homedetails/482-Woodbine-Ave-Kitchener-ON-N2R-0A6/2073169279_zpid/,"C$699,000"
43.451447,-80.48009,"2,347",39 Hohner Ave,https://www.zillow.com/homedetails/39-Hohner-Ave-Kitchener-ON-N2H-2V3/2074042095_zpid/,"C$799,900"
43.451296,-80.405994,,14 Watervale Dr,https://www.zillow.com/homedetails/14-Watervale-Dr-Kitchener-ON-N2A-0E9/2073100618_zpid/,"C$800,000"
43.391301,-80.412934,,50 Pinnacle Dr #13,https://www.zillow.com/homedetails/50-Pinnacle-Dr-13-Kitchener-ON-N2P-0H8/2073154002_zpid/,"C$599,900"
43.417062,-80.499791,"1,057",21 Laurentian Dr,https://www.zillow.com/homedetails/21-Laurentian-Dr-Kitchener-ON-N2E-1C1/2075205863_zpid/,"C$769,900"
43.40128,-80.508636,"1,258",132 Donnenwerth Dr,https://www.zillow.com/homedetails/132-Donnenwerth-Dr-Kitchener-ON-N2E-4C8/2075638220_zpid/,"C$500,000"
43.418203,-80.541708,,29 Meadow Woods Cres,https://www.zillow.com/homedetails/29-Meadow-Woods-Cres-Kitchener-ON-N2N-1T3/2073623681_zpid/,"C$549,000"
43.435254,-80.439104,"1,536",149 Fergus Ave,https://www.zillow.com/homedetails/149-Fergus-Ave-Kitchener-ON-N2A-2H4/2084798176_zpid/,"C$675,000"
43.459469,-80.501053,,20 Bismark Ave,https://www.zillow.com/homedetails/20-Bismark-Ave-Kitchener-ON-N2H-5S7/2073388545_zpid/,"C$689,000"
43.420272,-80.539242,"1,140",23 Cherrytree Ct,https://www.zillow.com/homedetails/23-Cherrytree-Ct-Kitchener-ON-N2N-1L9/2073069006_zpid/,"C$589,900"
43.459832,-80.501841,"1,383",528 Duke St W,https://www.zillow.com/homedetails/528-Duke-St-W-Kitchener-ON-N2H-3Y8/2073069306_zpid/,"C$525,000"
43.445325,-80.47721,"2,325",21 Fairview Ave,https://www.zillow.com/homedetails/21-Fairview-Ave-Kitchener-ON-N2H-3E7/2073065636_zpid/,"C$699,000"
43.450208,-80.407899,"2,565",212 Colton Cir,https://www.zillow.com/homedetails/212-Colton-Cir-Kitchener-ON-N2A-4K2/2073067135_zpid/,"C$699,000"
43.444262,-80.472322,"2,205",61 Borden Ave N,https://www.zillow.com/homedetails/61-Borden-Ave-N-Kitchener-ON-N2H-3J2/2073067333_zpid/,"C$799,800"
43.440492,-80.504928,,177 Highland Rd W,https://www.zillow.com/homedetails/177-Highland-Rd-W-Kitchener-ON-N2M-3C1/2073069673_zpid/,"C$474,900"
