id,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,year,wins,games,playoff_wins,playoff_games
DET 2017,DET,1732,310,2838,7282,0.449,3269,1586,0.719,1140,82,19805,Detroit Pistons,908,1929,339,2861,6830,0.46,3144,1726,0.78,1346,656,1434,8401,551,2098,0.366,767,3517,1046,4732,0.502,2377,1467,8309,26,574,1915,0.33,631,3746,973,5367,0.492,2638,2017,37,82,0,0
ORL 2017,ORL,1820,396,2734,7133,0.44,3139,1753,0.747,1309,82,19805,Orlando Magic,807,1936,419,2934,7081,0.467,3304,1860,0.766,1425,799,1532,8827,622,2161,0.367,794,3733,1069,4920,0.51,2510,1584,8288,27,580,2139,0.328,701,3541,1091,4994,0.488,2438,2017,29,82,0,0
UTA 2017,UTA,1651,410,2774,6515,0.466,3033,1875,0.747,1401,82,19755,Utah Jazz,771,1463,312,2554,6723,0.443,2978,1701,0.769,1308,742,1655,7935,598,1874,0.358,671,3296,995,4849,0.476,2307,1545,8258,28,550,2128,0.372,791,3545,1118,4387,0.511,2242,2017,51,82,4,11
MEM 2017,MEM,1744,344,2621,6854,0.435,2984,1918,0.784,1504,82,19905,Memphis Grizzlies,886,1645,410,2692,6465,0.443,2864,2202,0.753,1658,761,1708,8199,574,2299,0.354,813,3453,1171,4166,0.492,2051,1840,8239,29,653,2169,0.354,767,3507,1059,4685,0.473,2217,2017,43,82,2,6
DAL 2017,DAL,1705,307,2516,6750,0.44,2968,1516,0.801,1215,82,19780,Dallas Mavericks,647,1743,280,2923,6477,0.469,3035,1827,0.772,1411,727,1591,8269,535,2074,0.38,788,3650,1225,4403,0.51,2247,1567,8029,30,614,2473,0.355,878,3163,972,4277,0.489,2090,2017,33,82,0,0
GSW 2016,GSW,2373,498,2972,7159,0.487,3489,1790,0.763,1366,82,19880,Golden State Warriors,816,1823,336,2662,7330,0.435,3188,2013,0.757,1523,937,1627,8539,710,1928,0.332,640,3599,1185,5402,0.472,2548,1701,9421,1,689,2592,0.416,1077,3788,1245,4567,0.528,2412,2016,73,82,15,24
OKC 2016,OKC,1883,487,2916,7082,0.476,3372,2067,0.782,1616,82,19830,Oklahoma City Thunder,1071,1767,373,2373,7192,0.438,3150,1950,0.756,1474,923,1653,8441,719,1949,0.342,667,3296,1068,5243,0.474,2483,1691,9038,2,603,1945,0.349,678,3987,1305,5137,0.524,2694,2016,55,82,11,18
SAC 2016,SAC,2009,368,2760,7083,0.464,3283,2089,0.725,1514,82,19805,Sacramento Kings,868,1986,437,2765,7194,0.462,3327,1902,0.762,1450,926,1800,8943,722,2293,0.366,839,3691,1308,4901,0.508,2488,1676,8740,3,733,1839,0.359,660,3628,1326,5244,0.5,2623,2016,33,82,0,0
HOU 2016,HOU,1821,430,2601,6847,0.452,3094,2407,0.694,1671,82,19830,Houston Rockets,930,2015,404,2690,6977,0.459,3200,2018,0.756,1525,970,1847,8721,734,2206,0.361,796,3660,1360,4771,0.504,2404,1790,8737,4,821,2533,0.347,878,3531,1307,4314,0.514,2216,2016,41,82,1,5
BOS 2016,BOS,1981,348,2733,7318,0.439,3216,1929,0.788,1520,82,19780,Boston Celtics,950,1715,450,2838,6973,0.441,3075,2136,0.755,1613,932,1718,8406,622,1912,0.336,643,3770,1348,5061,0.481,2432,1796,8669,5,752,2142,0.335,717,3683,1127,5176,0.483,2499,2016,48,82,2,6
POR 2016,POR,1748,380,2782,7040,0.45,3167,1889,0.754,1424,82,19805,Portland Trail Blazers,948,1770,424,2716,6945,0.453,3146,2129,0.734,1562,867,1597,8554,630,1888,0.371,700,3583,1088,5057,0.484,2446,1782,8622,6,562,2336,0.37,864,3730,1200,4704,0.49,2303,2016,44,82,5,11
LAC 2016,LAC,1873,460,2727,6759,0.465,3141,2152,0.692,1490,82,19830,Los Angeles Clippers,721,1740,259,2861,6946,0.434,3015,2055,0.751,1543,968,1842,8218,583,1909,0.338,645,3829,1260,5037,0.471,2370,1746,8569,7,709,2190,0.364,797,3448,1063,4569,0.513,2344,2016,53,82,2,6
CLE 2016,CLE,1861,317,2777,6888,0.46,3171,1783,0.748,1333,82,19855,Cleveland Cavaliers,873,1756,362,2604,6736,0.448,3019,1855,0.743,1378,760,1690,8063,590,1862,0.347,647,3364,1092,4874,0.487,2372,1666,8555,8,551,2428,0.362,880,3650,1114,4460,0.514,2291,2016,57,82,16,21
WAS 2016,WAS,2005,323,2688,7033,0.46,3238,1849,0.73,1349,82,19755,Washington Wizards,743,1846,356,2858,6868,0.462,3170,1947,0.769,1498,773,1651,8575,661,1987,0.371,737,3631,1325,4881,0.498,2433,1708,8534,9,708,1983,0.358,709,3431,1186,5050,0.501,2529,2016,41,82,0,0
SAS 2016,SAS,2010,485,2831,6797,0.484,3289,1672,0.803,1342,82,19705,San Antonio Spurs,770,1707,317,2576,6709,0.436,2928,1611,0.758,1221,747,1597,7618,592,1634,0.331,541,3323,1214,5075,0.47,2387,1433,8490,10,677,1518,0.375,570,3601,1071,5279,0.515,2719,2016,67,82,6,10
CHO 2016,CHO,1778,438,2869,6922,0.439,3036,1941,0.79,1534,82,19855,Charlotte Hornets,734,1901,448,2936,6971,0.444,3098,1735,0.769,1334,726,1670,8256,553,2081,0.349,726,3662,1103,4890,0.485,2372,1487,8479,11,595,2410,0.362,873,3603,1030,4512,0.479,2163,2016,48,82,3,7
ATL 2016,ATL,2100,486,2772,6923,0.458,3168,1638,0.783,1282,82,19830,Atlanta Hawks,679,1808,411,2869,7058,0.432,3046,1810,0.755,1366,944,1500,8137,706,2008,0.338,679,3813,1324,5050,0.469,2367,1570,8433,12,747,2326,0.35,815,3451,1226,4597,0.512,2353,2016,48,82,4,10
NOP 2016,NOP,1818,342,2712,7040,0.448,3153,1823,0.776,1415,82,19780,New Orleans Pelicans,782,1899,423,2912,6877,0.468,3218,1972,0.783,1544,730,1630,8734,602,2043,0.369,754,3642,1127,4834,0.51,2464,1713,8423,13,633,1951,0.36,702,3494,1102,5089,0.482,2451,2016,30,82,0,0
TOR 2016,TOR,1536,449,2724,6669,0.451,3006,2190,0.777,1702,82,19780,Toronto Raptors,836,1781,442,2561,6732,0.444,2991,1809,0.748,1354,782,1801,8053,534,1922,0.373,717,3343,1094,4810,0.473,2274,1610,8422,14,636,1915,0.37,708,3560,1073,4754,0.483,2298,2016,56,82,10,20
MIN 2016,MIN,1916,375,2587,6668,0.464,3095,2213,0.792,1753,82,19880,Minnesota Timberwolves,821,1857,427,2558,6962,0.471,3276,1842,0.757,1394,877,1768,8688,638,2089,0.355,742,3435,1220,4873,0.52,2534,1696,8398,15,656,1347,0.338,455,3408,1231,5321,0.496,2640,2016,29,82,0,0
DAL 2016,DAL,1813,306,2781,6900,0.444,3064,1831,0.794,1454,82,20005,Dallas Mavericks,751,1800,363,2887,6971,0.451,3144,1873,0.738,1382,868,1757,8413,617,2170,0.342,743,3755,1142,4801,0.5,2401,1595,8388,16,560,2342,0.344,806,3532,1047,4558,0.495,2258,2016,42,82,1,5
IND 2016,IND,1741,391,2779,6985,0.45,3142,1872,0.764,1430,82,19880,Indiana Pacers,847,1707,366,2774,6962,0.44,3065,1901,0.751,1428,877,1676,8237,634,2035,0.334,679,3651,1297,4927,0.484,2386,1641,8377,17,742,1889,0.351,663,3626,1219,5096,0.486,2479,2016,45,82,3,7
ORL 2016,ORL,1933,417,2709,7120,0.455,3242,1649,0.757,1249,82,19905,Orlando Magic,843,1899,448,2800,6850,0.46,3150,1971,0.746,1470,832,1497,8502,620,2041,0.359,732,3632,1240,4809,0.503,2418,1701,8369,18,673,1818,0.35,636,3552,1155,5302,0.492,2606,2016,35,82,0,0
DET 2016,DET,1594,304,2777,7087,0.439,3111,2095,0.668,1399,82,19880,Detroit Pistons,1021,1766,366,2763,6903,0.461,3182,1726,0.783,1351,725,1773,8311,583,1679,0.355,596,3488,1099,5224,0.495,2586,1557,8361,19,573,2148,0.345,740,3798,1110,4939,0.48,2371,2016,44,82,0,4
DEN 2016,DEN,1858,395,2718,7003,0.442,3093,1974,0.766,1513,82,19830,Denver Nuggets,941,1924,517,2700,6904,0.461,3182,1958,0.761,1491,799,1712,8609,660,2033,0.371,754,3499,1122,4871,0.498,2428,1723,8355,20,609,1943,0.338,656,3659,1202,5060,0.482,2437,2016,33,82,0,0
CHI 2016,CHI,1870,470,2889,7170,0.441,3165,1720,0.787,1354,82,19905,Chicago Bulls,907,1848,465,2798,7333,0.441,3234,1813,0.737,1337,969,1535,8456,655,1885,0.345,651,3767,974,5448,0.474,2583,1545,8335,21,495,1753,0.371,651,3796,1141,5417,0.464,2514,2016,42,82,0,0
PHO 2016,PHO,1701,313,2733,7018,0.435,3051,1905,0.751,1431,82,19705,Phoenix Suns,943,1837,449,2770,6870,0.467,3208,2177,0.749,1631,813,1770,8817,782,2041,0.377,770,3583,1224,4829,0.505,2438,1858,8271,22,632,2118,0.348,738,3676,1410,4900,0.472,2313,2016,23,82,0,0
MIA 2016,MIA,1709,531,2811,6697,0.47,3150,1889,0.744,1406,82,19830,Miami Heat,807,1657,337,2580,6914,0.442,3054,1761,0.77,1356,803,1608,8069,612,1742,0.347,605,3383,1060,5172,0.474,2449,1502,8204,23,553,1480,0.336,498,3618,1155,5217,0.508,2652,2016,48,82,7,14
MEM 2016,MEM,1697,350,2497,6859,0.44,3019,2024,0.783,1584,82,19830,Memphis Grizzlies,916,1792,469,2711,6459,0.456,2947,2107,0.768,1619,830,1732,8310,576,2185,0.365,797,3541,1328,4274,0.503,2150,1783,8126,24,724,1521,0.331,504,3413,1090,5338,0.471,2515,2016,42,82,0,4
MIL 2016,MIL,1895,475,2559,6740,0.467,3145,1863,0.747,1392,82,19830,Milwaukee Bucks,858,2013,462,2583,6817,0.454,3097,1961,0.768,1506,942,1600,8465,679,2171,0.352,765,3525,1269,4646,0.502,2332,1695,8122,25,672,1277,0.345,440,3417,1247,5463,0.495,2705,2016,33,82,0,0
BRK 2016,BRK,1829,332,2614,6920,0.453,3136,1699,0.757,1286,82,19755,Brooklyn Nets,863,2006,430,2719,6984,0.479,3345,1608,0.763,1227,840,1510,8692,720,2100,0.369,775,3559,1162,4884,0.526,2570,1476,8089,26,627,1508,0.352,531,3477,1212,5412,0.481,2605,2016,21,82,0,0
NYK 2016,NYK,1682,466,2788,6886,0.439,3022,1753,0.805,1411,82,19805,New York Knicks,850,1703,343,2733,7035,0.443,3114,1904,0.754,1435,890,1520,8289,589,1838,0.341,626,3623,927,5197,0.479,2488,1616,8065,27,467,1762,0.346,610,3638,1099,5124,0.471,2412,2016,32,82,0,0
UTA 2016,UTA,1555,425,2665,6593,0.449,2957,1885,0.744,1402,82,19955,Utah Jazz,880,1568,385,2522,6549,0.446,2920,1842,0.746,1374,764,1629,7863,652,1819,0.357,649,3286,1146,4730,0.48,2271,1655,8010,28,631,1956,0.355,694,3545,1224,4637,0.488,2263,2016,40,82,0,0
PHI 2016,PHI,1765,495,2605,6887,0.431,2970,1850,0.694,1284,82,19805,Philadelphia 76ers,777,1919,466,2987,7005,0.464,3253,2141,0.786,1683,913,1571,8827,711,1776,0.359,638,3900,1241,5229,0.5,2615,1780,7988,29,680,2255,0.339,764,3382,1343,4632,0.476,2206,2016,10,82,0,0
LAL 2016,LAL,1478,337,2645,6956,0.414,2880,2028,0.781,1583,82,19730,Los Angeles Lakers,878,2022,458,2915,7023,0.473,3323,1942,0.731,1420,897,1573,8766,617,2016,0.347,700,3812,1037,5007,0.524,2623,1662,7982,30,593,2016,0.317,639,3523,1124,4940,0.454,2241,2016,17,82,0,0
GSW 2015,GSW,2248,496,2814,7137,0.478,3410,1709,0.768,1313,82,19730,Golden State Warriors,853,1718,293,2690,7084,0.428,3031,2011,0.763,1534,963,1541,8188,680,1757,0.337,592,3653,1329,5327,0.458,2439,1628,9016,1,762,2217,0.398,883,3667,1185,4920,0.514,2527,2015,67,82,16,21
LAC 2015,LAC,2031,409,2711,6830,0.473,3228,2067,0.71,1468,82,19730,Los Angeles Clippers,784,1904,245,2649,6745,0.442,2984,2105,0.741,1560,868,1766,8211,548,1959,0.349,683,3517,1171,4786,0.481,2301,1749,8751,2,640,2202,0.376,827,3495,1012,4628,0.519,2401,2015,56,82,7,14
DAL 2015,DAL,1846,371,2608,7036,0.463,3255,1843,0.752,1386,82,19880,Dallas Mavericks,858,1830,314,2778,6930,0.45,3117,1879,0.753,1415,1006,1816,8390,602,2034,0.364,741,3784,1339,4896,0.485,2376,1644,8628,3,663,2082,0.352,732,3466,1062,4954,0.509,2523,2015,50,82,1,5
TOR 2015,TOR,1701,357,2526,6829,0.455,3108,2014,0.787,1585,82,19855,Toronto Raptors,881,1870,413,2559,6787,0.459,3116,1923,0.733,1410,922,1668,8275,567,1828,0.346,633,3481,1182,4959,0.501,2483,1712,8527,4,615,2060,0.352,726,3407,1057,4769,0.499,2382,2015,49,82,0,4
OKC 2015,OKC,1681,454,2844,7119,0.447,3184,2020,0.754,1524,82,19830,Oklahoma City Thunder,1052,1815,377,2587,7008,0.44,3085,2005,0.745,1494,917,1675,8345,642,1984,0.343,681,3504,1118,5024,0.479,2404,1829,8524,5,598,1864,0.339,632,3896,1205,5255,0.486,2552,2015,45,82,0,0
HOU 2015,HOU,1820,407,2624,6832,0.444,3032,2133,0.715,1525,82,19805,Houston Rockets,958,1752,437,2621,6983,0.443,3092,1932,0.751,1451,973,1730,8240,726,1881,0.322,605,3594,1342,5102,0.487,2487,1803,8522,6,777,2680,0.348,933,3582,1366,4152,0.506,2099,2015,56,82,9,17
SAS 2015,SAS,2000,444,2772,6854,0.468,3208,1754,0.78,1368,82,19955,San Antonio Spurs,806,1699,362,2643,6861,0.444,3044,1754,0.745,1307,813,1613,7953,648,1550,0.36,558,3456,1167,5311,0.468,2486,1564,8461,7,657,1847,0.367,677,3578,1146,5007,0.505,2531,2015,55,82,3,7
CLE 2015,CLE,1814,340,2612,6739,0.458,3089,1934,0.751,1453,82,19780,Cleveland Cavaliers,911,1974,368,2487,6850,0.456,3121,1629,0.745,1214,885,1685,8090,642,1848,0.343,634,3372,1092,5002,0.497,2487,1510,8457,8,603,2253,0.367,826,3523,1171,4486,0.504,2263,2015,53,82,14,20
POR 2015,POR,1799,372,2881,7049,0.45,3175,1589,0.801,1272,82,19855,Portland Trail Blazers,879,1669,297,2754,7123,0.439,3130,1713,0.758,1298,902,1534,8082,655,1552,0.338,524,3656,999,5571,0.468,2606,1494,8429,9,525,2231,0.362,807,3760,1117,4818,0.491,2368,2015,51,82,1,5
ATL 2015,ATL,2111,380,2611,6699,0.466,3121,1735,0.778,1349,82,19730,Atlanta Hawks,715,1931,404,2631,6815,0.439,2991,1651,0.764,1262,948,1611,7964,604,2112,0.341,720,3579,1317,4703,0.483,2271,1457,8409,10,744,2152,0.38,818,3326,1167,4547,0.506,2303,2015,60,82,8,16
PHO 2015,PHO,1659,385,2643,7038,0.452,3178,1767,0.76,1343,82,19880,Phoenix Suns,896,1734,337,2766,6972,0.452,3149,2030,0.759,1540,951,1664,8471,651,1798,0.352,633,3717,1276,5174,0.486,2516,1744,8397,11,700,2048,0.341,698,3539,1238,4990,0.497,2480,2015,39,82,0,0
DEN 2015,DEN,1788,367,2653,7158,0.433,3099,1991,0.734,1462,82,19880,Denver Nuggets,1012,1894,504,2798,6909,0.458,3164,2208,0.748,1652,899,1698,8611,611,1823,0.346,631,3697,1177,5086,0.498,2533,1882,8320,12,641,2032,0.325,660,3665,1166,5126,0.476,2439,2015,30,82,0,0
BOS 2015,BOS,2009,294,2685,7211,0.443,3193,1678,0.754,1266,82,19880,Boston Celtics,910,1798,431,2772,6943,0.45,3125,1909,0.755,1442,893,1545,8299,583,1804,0.336,607,3665,1239,5139,0.49,2518,1738,8312,13,674,2021,0.327,660,3595,1133,5190,0.488,2533,2015,40,82,0,4
SAC 2015,SAC,1667,324,2728,6617,0.455,3010,2400,0.762,1829,82,19855,Sacramento Kings,895,1912,508,2479,7094,0.456,3238,1898,0.748,1420,898,1958,8614,712,2055,0.349,718,3377,1059,5039,0.5,2520,1696,8310,14,550,1350,0.341,461,3623,1333,5267,0.484,2549,2015,29,82,0,0
CHI 2015,CHI,1781,476,2792,6797,0.442,3001,2067,0.783,1618,82,19880,Chicago Bulls,959,1657,443,2598,7109,0.435,3095,1723,0.749,1291,963,1736,8019,614,1605,0.335,538,3561,1000,5504,0.465,2557,1495,8265,15,514,1825,0.353,645,3751,1145,4972,0.474,2356,2015,50,82,6,12
NOP 2015,NOP,1806,510,2621,6795,0.457,3108,1790,0.751,1345,82,19780,New Orleans Pelicans,942,1700,475,2537,6814,0.456,3108,1751,0.759,1329,870,1533,8082,555,1605,0.335,537,3407,1003,5209,0.494,2571,1530,8147,16,553,1583,0.37,586,3563,1087,5212,0.484,2522,2015,45,82,0,4
