id,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,year,wins,games,playoff_wins,playoff_games
NOH 2004,NOH,1716,346,2418,6605,0.42,2772,1937,0.751,1454,82,19830,New Orleans Hornets,1091,1790,429,2477,6443,0.441,2843,1877,0.75,1407,972,1734,7537,613,1301,0.341,444,3449,1282,5142,0.467,2399,1715,7529,17,708,1666,0.319,531,3509,1228,4939,0.454,2241,2004,41,82,3,7
WAS 2004,WAS,1537,406,2392,6556,0.421,2758,2211,0.714,1579,82,19830,Washington Wizards,1115,1966,448,2520,6740,0.454,3061,1874,0.771,1444,1048,1783,7990,786,1238,0.342,424,3568,1321,5502,0.479,2637,1712,7528,18,733,1269,0.341,433,3507,1439,5287,0.44,2325,2004,25,82,0,0
SAS 2004,SAS,1676,537,2669,6434,0.442,2842,2069,0.681,1409,82,19755,San Antonio Spurs,1029,1419,380,2459,6388,0.409,2613,1844,0.744,1372,909,1837,6909,635,951,0.327,311,3368,1254,5437,0.423,2302,1667,7501,19,661,1140,0.358,408,3698,1203,5294,0.46,2434,2004,57,82,6,10
IND 2004,IND,1774,411,2452,6322,0.435,2753,2014,0.764,1538,82,19805,Indiana Pacers,965,1649,512,2423,6180,0.432,2671,1800,0.75,1350,867,1794,7021,582,1014,0.324,329,3290,1301,5166,0.453,2342,1709,7493,20,726,1281,0.351,449,3417,1182,5041,0.457,2304,2004,61,82,10,16
POR 2004,POR,1768,443,2376,6467,0.448,2898,1728,0.731,1263,82,19980,Portland Trail Blazers,1040,1912,390,2292,6567,0.45,2954,1618,0.753,1219,1016,1534,7544,657,1222,0.341,417,3308,1120,5345,0.475,2537,1554,7440,21,613,1102,0.346,381,3416,1213,5365,0.469,2517,2004,41,82,0,0
MIA 2004,MIA,1565,313,2459,6417,0.425,2729,1915,0.762,1459,82,19755,Miami Heat,940,1526,439,2486,6205,0.428,2658,2100,0.768,1612,892,1729,7359,578,1256,0.343,431,3378,1207,4949,0.45,2227,1812,7402,22,590,1357,0.357,485,3399,1137,5060,0.443,2244,2004,42,82,6,13
NJN 2004,NJN,2009,322,2473,6372,0.441,2813,1856,0.753,1398,82,19705,New Jersey Nets,862,1627,374,2471,6302,0.427,2693,1830,0.761,1392,873,1739,7196,656,1193,0.35,418,3344,1321,5109,0.445,2275,1722,7401,23,709,1123,0.336,377,3335,1209,5249,0.464,2436,2004,47,82,7,11
DET 2004,DET,1702,570,2492,6314,0.435,2747,2074,0.753,1561,82,19780,Detroit Pistons,1014,1561,410,2353,6378,0.413,2633,1730,0.744,1287,980,1877,6909,649,1180,0.302,356,3333,1310,5198,0.438,2277,1664,7388,24,659,968,0.344,333,3506,1241,5346,0.452,2414,2004,54,82,16,23
HOU 2004,HOU,1579,443,2647,6195,0.442,2738,1774,0.773,1371,82,19930,Houston Rockets,847,1689,359,2351,6405,0.412,2636,2024,0.737,1491,907,1695,7220,710,1227,0.372,457,3258,1103,5178,0.421,2179,1762,7362,25,560,1406,0.366,515,3494,1373,4789,0.464,2223,2004,45,82,1,5
CHI 2004,CHI,1793,396,2519,6753,0.414,2798,1834,0.725,1330,82,19830,Chicago Bulls,1048,1890,446,2682,6611,0.436,2882,2238,0.748,1673,1011,1684,7876,694,1235,0.355,439,3693,1250,5376,0.454,2443,1911,7355,26,659,1256,0.342,429,3567,1321,5497,0.431,2369,2004,23,82,0,0
